Record No.,Inventory No.,Archive Name,Archive Call Number,Archive Type,Date of Appraisal,Owner Last Name,Inv. City,Inv. Count,Inv. Country,Art Value,Inv. Value,Owner Life Dates,Marriage Date,Ceremony,Additional Names,Owner Full Name,Sex,Notary,Occupation,Purpose,Religion,Residence,Biographical Notes,Intro Text
79,163,Gemeentearchief Amsterdam,"NA 1598, film 1691, fol. 57-134",Notarial,1639/12/21,Gaillard,Amsterdam,182,Nederland,,,1590 |d 1639/10/20,1613/12/21,Pui,,"Gaillard, Anthoni (de jonge)",M,Willem Hasen,,Death inventory drawn up at the request of the children's guardians,Reformed,"Amsterdam, op de hoeck van de borse","Anthony Gaillard de jonge (1590-1639)  was the son of Anthony Gaillard de oude of INVNO 662 of 8 February 1625. He was a wealthy collector, who also bought at WK auction (see R 22087 of Montias2). He was only taxed 40 f. in 1631 (living on the Uterse Steygersteegh, Kohier, fol. 207 vo., p. 47). On 21 December 1613, Anthoni Gailliart de jonge was betrothed to Maaike Abeels (DTB 763/24). On 12 October 1614, he and his wife Mayke Abeels had their son Anthony baptized in the O.K. in the presence of Anthonij Galjaert (I) and Grietje Abeels (DTB 5/119). On 3 August 1617, the same parents had their son Steven baptized in the O.K. in the presence of Nikolaes Abeels and Josijntje Bincken (Bencken)  (DTB 5/223). Nikolaes Abeels and  Jonas Abeels, cited in the INTRO, may have been Mayke's brothers. On Jonas Abeels, who married Anna Rueland, see Elias, Vroedschap van Amsterdam, p. 572.   On 30 July 1624, Nicolas Coques (of R 20336)  and Anthony Gaillard de jonge declared before the Orphan Chamber that they had accepted the guardianship over the children left by Govert Gaillard (WK 5073/513, fol. 20). Govert Gaillard was the brother of Anthony Gaillard de jonge. On his son Joan, see the NOTES to R 22087.  On 18 May 1641, a few paintings and drawings belonging to Anthony Gaillard (II), not included in the present inventory, were assessed. These are recorded in INVNO 1630. Matheus Luls, at whose request the inventory was drawn up, is probably identical with Matheus Luls Davidsz. cited in R 27047 of Montias2.","Inventaris van alle de goederen ende imboel bevonden in den sterffhuijse van sal-r Anthoni Gaillard burger deser stad Amsterdam overleden den 20-en October 1639 binnen sijnen huijse gestaen op den hoeck van de borse alhier naerlatende twee sonen ende een dochter te weten Anthoni, Steven ende Anneken Gaillard , beschreven by mij Willem Hasen bij den Hove van Holland geadmitteerd openbaer Notaris ... ten versoecke van Sr. Jonas Abeels ende Mathys Luls, als geordonneerde testamentaire voogden, blykende by den testament van den selven Anthoni Gaillard. Gedaen in den jaer, maend ende ten dache ondergeschreven."
87,142,Gemeentearchief Amsterdam,NA 483 B  fol. 332 and foll.,,1636/12/04,Gerrits,Amsterdam,31,Nederland,,,1590 |d c. 1636,,Pui,widow of Dirck Harmenss,"Gerrits, Aeltien",F,Palm Mathijs,"Food preparation |a Baker, pastry cook",death inventory,Roman Catholic,In the Halssteech dwarstraet in Amsterdam,"Aeltien Gerrits was first married to Gerrit Jansz. Lambrinck (of INVNO 622 of R 522 of Montias1). On 5 October 1610, Gerrit Jansz. Lambrinck, 27, assisted by his father Jan Gerritsz. Lambrinck and his mother Mary Jans, was betrothed to Aaltje Gerrits Coppes, 20, living op 't Water (DTB 666/27). He probably died shortly before 9 September 1626 when the inventory of his goods was taken. Note that, at that earlier sale, two gold rings were bought by Marten Codde, cited in the above INTRO. On the brothers Marten and Roeloff Codde, who were guardians of the children left by the couple,  see R 21399 and 7591 of Montias2. The family was Roman Catholic, as the Catholyck handboeck in this inventory attests.",Inventaris van de goederen die Aeltien Gerrits weduwe van Dirck Harmenss in sijn leven backer metter doot ontruijmt ende nagelaten heeft. Geinventariseert ten versoecke van de eersame Roeloff Codden soo voor hem als in naemen van wegen Maerten Codden sijn broeder als voogden van den kinderen van Gerrit Jansz. Lambering ende Jan Heijmerick als man ende voogt van Marrij Hendrix erfgenamen van de voorn. Aeltien Gerrits.
97,177,Gemeentearchief Amsterdam,"483A, fol.112-114, film No.4838",Notarial,1632/02/16,Gerrits,Amsterdam,16,Nederland,,,,,Pui,,"Gerrits, Trijn",F,Palm Matthijs,,death inventory to be divided among the children,Roman Catholic,Bij de Wolvelhuijs in Amsterdam,,"Inventaris van de goederen die Trijn Gerrits metter doot ontruijmt ende nagelaten heeft ende die haer kinderen noch int gemeen syn besttende , geinventariseert  ten versoecke van Aechte Gerrits ende Anna Gerrits petemoeyen van de voors. kinderen ende mede ten overstaen van Anna Lourens een van de getroude dochters ende syn als volcht..."
110,192,Gemeentearchief Amsterdam,"1266, act no. 11, film 1345",Notarial,1637/04/21,Schonemans,Amsterdam,47,Nederland,,,,,,spinster,"Schonemans, Marritge",F,P. Barcman,,unknown,Roman Catholic,"In de ronde Begijnhof, boven de beek, in Amsterdam","Marritge Schonemans was the sister of Stijntje Schonemans, the wife of Claes Felt, cited in the INTRO. Claes Felt was one of the heirs of Jannetje Felt of INVNO 105.  In 1643, Claes Felt, widower of Stijntje Schonemans, remarried with Maritje Coerten, the widow of the painter Pieter Dircxsz. Santvoort. For the post-mortem inventory of Maritje Coerten, see INVNO 371.  On 29 July 1636, the eerbare Maria Schoonmans, passed a testament in which she made the following bequests: to her brother Claes Schonemans, 1000 f. (and to his children after him); to her sisters Cornelia and Stijntje, each 100 f. and no more (sonder meer); and to the eersame Outger Pietersz. Spiegel (of R 27584), 1000 f. (and also to his children in case of his decease). She added that Outger Pietersz. was discharged from all the guarantees (borgtochten) he had given in her favor. He was also named executor of her testament, which was passed in his house. She named Sijtge Sijmons, widow of Guilliaem Hendricksz., her goede bekende, as universal heir. Outger Pietersz. was named as the executor of her testament (NA 642, film 4953, Not. Sybrant Cornelissen, fol. 204-206). On 25 June 1638, Lysbeth Cornelis, spinster, living in the Ronde Bagijnhof, 45 years old, made a deposition at the request of Hendrick Schut, clock maker, as curator, along with Jan van Herenbergh, of the insolvent (desolate) estate of Maritgen Schoonemans, who had also lived in the Ronde Bagijnhof. She declared that, after Maritge Schoonemans had left her residence three days before Palm Sunday 1637, to the prejudice of her creditors, about 3 days before the following May in the same year, the wife of Claes Felten, being the sister of Maritge Schoonemans, came to the house (of Maritge Schoonemans) in the aforesaid Hoff, and, in several trips, took away the movable goods (inboel)  of Maritge Schoonemans (NA 522, film 4861, Not. Westfrisius). The sister was of course Stijntje Schoonemans, the wife of Claes Felt. On 12 July 1638, Annetge Hessels, 69, widow of Martin Parijsz, declared at the request of Henrick Schut and Jan van Hardenburgh, as curators of the desolate estate of Maritge Schonemans, that they had been invited by Alexander Benyn and his wife Cornelia Schonemans to view a certain string of pearls which she (Maritge Schonemans) had asked to sell, which they did. Claes Felt had also been asked to sell some pearls for her (NA 992, film 1221, fol. 3). The cruycifix in de bedstede in the achtercamer is taken as evidence of Maritge Schonemans Roman Catholicism. On Claes Felt, of INVNO 371, see R 288 of Montias 1.",Inventaris van sekere meublen toebehorende Marritge Schonemans ongehoude dochter gemaeckt ten versoucke van Sr. Nicolaes Velt coopman alhier als last ende procuratie hebbende van de voors. Marritge Schonemans sijnde de voors. goederen bevonden ten respectyve plaetsen hier nae genomineert.
112,375,Gemeentearchief Amsterdam,563 B,,1636/01/31,Houten,Amsterdam,18,Nederland,,,1570 |d c. 1636,,,,"Houten, Pieter van",M,J. Westfrisius,"Services |a Broker, factor; Retail merchant |a Other",death inventory,Roman Catholic,Amsterdam,"The owner of the goods in this inventory is probably identical with Pieter van Houten, a merchant, plumassier, and broker, from Antwerp, who was fist noted in Amsterdam in 1590 (Gelderblom, Zuid-Nederlandse kooplieden, p. 304). Pieter van Houten  was said to owe money to a mumber of creditors in July 1592 (NOTES to R 21444 of Montias2). On 16 July 1619, Pieter van Houten, feather dealer (pluymassier), named his son Pieter van Houten de jonge, to deal with Hans van der Put in Hainaut concerning the delivery of ostrich feathers which he, van Houten, had bought from van der Put (NA 382, fol. 17). Hans van der Put (probably of INVNO 1072) was the brother-in-law of the painter and art dealer Hans van Conincxloo II. On 1 August 1619, Rem Anthonisz., apothecary, 40, Constant Bourgeois, glovemaker, 48, and Pieter van Houten, feathers dealer, 49, made a declaration at the request of Jan Claesz. Passer, bode of Amsterdam for Rouen (NA 382, fo. 41). On Rem Anthonisz. (or Thonisz.), see the NOTES to R 21978 of Montias2. On Constant Bourgeois, see the NOTES to R 20955 of Montias2.  Among the few books: De schat devotie, Catholique sermoenen. Pieter van Houten was probably R.C.",Inventory of the late Pieter van Houten made at the request of Nicolaes Coquis (or Cocques) (well-known textile merchant)
113,195,Gemeentearchief Amsterdam,"482 B fol. 57-59, film no. 4838",Notarial,1630/05/14,Dircxss,Amsterdam,18,Nederland,,,,1605/11/05,pui,and his late wife Neeltgen Eeuwouts,"Dircxss, Jacob",B,Palm Mathijs,Services |a Water transportation,death inventory  (both spouses),Roman Catholic,Op de Boomssloot in Amsterdam,"According to the INTRO, Jacob Dircxss was a barge pilot (schuytvoerder). The only individual who can more or less be identified among the individuals cited in the INTRO  is Dirck Hendricksz. Schoneman, a good acquaintance of the family of the late Jacob Dircxss. Dirck Hendricksz. was most probably the son of Hendrick Dircksz. Schoneman, salt merchant, who appeared in a deposition of 30 August 1635 (see the NOTES to R 38065 of Montias2). There were no books in the inventory (all the witnesses were illiterate). However, I judge the deceased to have been Roman Catholic by the contents of the inventory and by the fact that most of notary Palm Matthijs's clients seem to have been Roman Catholic. Other members of the Schoneman family are also known to have been R.C.","Inventaris van alle de goederen die Jacob Dircxss in sijn leven schuitevoerder ende Neeltgen Eeuwouts syne huijsvrouw metter doot ontruymt ende nagelaten hebben. Geinventariseert ten versoecke van Jacob Eeuwouts als oom van moeders wegen van de vyff nagelaten kinderen van de voors. Jacob Dircxz. ende Neeltgen Eeuwouts ten overstaen mede van Gijsuen Dircx als petemoej van de selve kinderen van vaders wegen ende Grietgen Eeuwouts als moeye van moeders wegen van de selve kinderen, int bywesen van d'eersame Dirck Hendricxsz. Schoneman ende Egbert Jansz. kleermaecker als goede bekende. Gedaen ten sterffhuijse staende op de Boomssloot."
114,196,Gemeentearchief Amsterdam,"482 B, fol. 53-56, film no. 4838",Notarial,1630/04/12,Rocourt,Amsterdam,4,Nederland,,,,1619/05/11,Pui,with his widow Catelijn Roseau,"Rocourt, Bartran de",B,Palm Matthijs,"Artisan |a Embroiderer, lacemaker, hairweaver",death inventory,probably Reformed,"Op de Keisersgracht recht over de Academie, in De Groene Leeu","On 11 May 1619, Bertram de Rocourt, widower of Marie de Fontaine, from Cambray, was betrothed to Catherine de Roseau, from Rijssel, widow of Jan de Latie,  living on the Keysersgracht (DTB 763/71). He may have been the brother of the art dealer Louis Rocourt of INVNO 624.  On Isaack Castelijn, a witness to the present inventory (who also lived on the West side of the Keysersgracht), see R 30817 of Montias2; on Jan de la Court, see R 23699 of Montias2. Bertran de Rocourt may be identical with Bertrant de Baucourt, a spigilliewercker (a maker of a sort of lace or embroidery) who, on 7 November 1613, took on as an apprentice a ten-year-old boy named Jan Harmansz.  (Van Dillen, Bronnen tot de geschiedenis van het bedrijfsleven R.G.P., 78(1933), pp. 66-7). On 21 September 1620, Bertran de Rocourt and his wife Cathaline Roseau passed their testament in French before notary Jacob Jacobsz. They mentioned their daughters Barbara and Anne Roseau, sister of Catherine Roseau. The testament was signed by the used clothing dealer,  Franchois de Gouve, the husband of the uitdraagster  Marry d'Arras of R 36558 of Montias2 (NA 389, fol. 139-1400.) The heirs of Bartrant de Roucourt, who included the children of Jan Lambrechtsz., keurmeester van de hennip, were cited in the Inbringenregister of the WK on 11 December 1636  (WK 5073/789).","Inventaris van de goederen die Bartran de Ro Court metter doot ontruijmt ende nagelaten heeft ende die de weduwe Catelijn Roseau tot noch toe is besittende, geinventariseert door mij onderges.  notaris ten versoecke van d'eersame  Marcellis Munnincx als testamentaire voocht gestelt neffens Fillicx de Vinckien blijckende by de testament daer van sijnde.  Gedaen ten sterffhuijse van de voors. Bartran de Ro Court staende op de Keysersgracht recht over d'Academie, ten bywesen van d'eersame Ysaacq Castelijn ende Jan de la Court als getuijgen."
143,226,Gemeentearchief Amsterdam,"486B, fol. 2-33, film 4842",Notarial,1635/01/01,Brugman,Amsterdam,136,Nederland,,,,1634/06/14,K,and his late wife Neeltgen Cornelis,"Brugman, Arent Pietersz.",B,Evert Cocq,"Merchant (largescale) |a Cloth, silk",inventory taken after death of Brugman's wife in order to divide her share of the common held property between Brugman and the couple's son Pieter Brugman,,Nieuwe Dijck in Amsterdam by de Brugsteech daer 't groen laecken uythangt,"On 18 November 1605, Arent Pietersz., 22 years old, assisted by his parents Pieter Jansz. and Lysbet Dierixdr., was betrothed to Neltgen Cornelis, 29, assisted by her parents Cornelis Lucasz. and Styntge Pe[...] (DTB 411/615). On 16 September 1608, Arent Pietersz. and Neeltge Cornelis had their daughter Oetje baptized in the N.K. in the presence of Lijsbet Dirxdr. (DTB 39/163). On 20 July 1608, the same couple had their son Pieter baptized in the N.K. in the presence of the same Lijsbet Dirx (DTB 39/223). Lysbeth Dircx was the sister-in-law of the painter Arent Arentsz. Cabel, of whom four paintings were recorded in the present inventory. She was a rich cloth dealer in the Groene Laken (where her son Arent Pietersz. was said to be living when he bought a lot at a W.K. sale in 1614 (R 27590 of Montias2). She remarried with Jan Arentsz. in 1618 (I. van Eeghen in Maandblad Amstelodamum 55(1968), p. 46). On 14 June 1634, Arent Pietersz. Brughman, from Amsterdam, widower of Neeltie Cornelis, living on the Lamuijen, was betrothed to Aaltie Alberts de Veer, widow of Pieter van Aenradt (2 1/2 years), living on the Houttuynen (DTB 443/374). Aaltje Alberts de Veer was the daughter of Albert de Veer (on whom, see NOTES to 27974) and the sister of Myntgen de Veer who married Jochem Jacobsz. Wachter of R 27974.","Staet ende inventaris van de goederen die Sr. Arent Pietersz. Brugman met syne overledene huysvrouw Neeltgen Cornelis in haer leven tesaemen int gemeen beseeten hebben, gemaeckt ende gestelt by den selven Arent Pietersz. Brugman ten overstaen van de voochde by den E. heeren weesmeesteren gecooren over syn onmondige soone Pieter Brugman sulcx de selve nu naet overlyden van syne voors. huysvrouw zal. op den eersten januaris 1635 bevonden syn. Tenderende om die volgende te procederen tot schriftinge scheydinge ende deelinge thusken den voors. Arent Pietersz. Brugman ende syne kinderen. Postscript: Aldus geinventariseert by Evert Cocq openbar notaris ...ter presentie van de eersame Cornelis van Neck ende Sr. Jan Cuijstken de Jonghe als getuygen tot Amsterdam den eersten januarij 1635"
144,227,Gemeentearchief Amsterdam,"418B fol. 495 and foll., film  4790",Notarial,1638/12/07,Noirot,Amsterdam,17,Nederland,192 |d  5 stuivers,4471 |d ,,,,,"Noirot, Jacomo",M,Jacob Jacobsz.,,Death inventory of debtor  under court-ordered supervision,,Amsterdam,"Jacomo Noirot was the brother of Daniel Noirot and of  Isaac Noirot, cited in Elias, Vroedschap van Amsterdam, p. 489. According to Briels, he was an art dealer (Briels, Zuidnederlandse immigratie, p. 101). He may have been the son of the old Noirot whose portrait, together with his wife, was recorded in an anonymous inventory dated 10 July 1618 (NA 611, film 330, Not. Pieter Ruttens).  Lucas van Uffelen (1586-1638), at whose house some of  the goods in this inventory were found, spent part of his life in Venice where he assembled a collection of paintings. After his death (before 9 April 1638), a sale of a cargaison of his paintings was sold by the Orphan Chamber in his house on the Keisersgracht at the corner of the Westermarckt, which brought a total of 59,456 f. (Strauss, Rembrandt Documents, p. 177.) Jacomo (or Jacques) van Uffelen (1590-1640) was a merchant chiefly active in the Levant (R 7706). It may be noted that Cathaline Noirot, from Brugges, was betrothed to the Delft goldsmith Adriaen de Grebber on 13 March 1621 (DTB 425/237). Adriaen Noirot (I?), a merchant born in Antwerp, was married to Elisabeth  de Wilhem, the daughter of Christiaen de Wilhem, who was apparently the brother of Paolo de Wilhem I, the father of Paolo de Wilhem II  of INVNO 197 (DTB 41/28 and Jaarboek C.B.G. 25(1971), pp. 146-8). Adriaen Noirot (II?), was  married to Susanna de Wilhem, who was apparently Elisabeth de Wilhem's sister. He  was the father of Jacob Noirot, baptized on 19 June 1629. On 18 March 1627, Paolo de Willem (I) gave a procuration to Adriaen Noirot (I), to collect money that Gerrit Claes  owed him in Gorcum (NA 661, fol. 123vo, Not. Warnaerts).","Inventaris gedaen by my Jacob Jacobsz. notaris ...ter presentie van de getuygen naegenoemt ten versoecke van de E. Daniel ende Isaac Noirot gebroeders ende erffgenamen onder benefitie van inventaris van Sr. Jacomo Noirot za. van de naervolgende goederen by de voors. Jacomo Noirot metter doot ontruymt ende nagelaten, synde alle de selve goederen bevonden, soo ten huyse van Sr. Jacomo van Uffelen als inden sterfhuyse van Sr Lucas van Uffelen zal., hebbende de voors. Jacomo van Uffelen de voors. inventaris als mede de navolgende taxatie  onder protestatie ende overmindert het recht van hipothecq ende pretentie dat soo den voorn. Jacomo van Uffelen in syn particulier als de compagnons van de gemelte Jacomo Noirot verstaen te hebben op de voors. goederen. Postscript: Aldus gedaen ... ten overstaen van Cornelis Molenyser deurwaerder ... den vii decembris anno 1638."
145,228,Gemeentearchief Amsterdam,NA 1498,Notarial,1638/09/02,Crisp,Amsterdam,20,Nederland,262 |d  13 stuivers,,1600 |d ?  |n Crisp,1628/04/08,K,Goods transferred to Claas Pietersz. Seebock,"Crisp, Jacob",M,Jan Oli,Employee |a Private firm,sale contract,Reformed,Op de Nieuwe Zijts Voorburgwal in Amsterdam,"Claes Pietersz. van Zeebeck (Zeebeke, Zeebock) was apparently the son of Pieter van Zeebeke and of Lijsbet Tijmens. After the death of Pieter van  Zeebeke, Lijsbet Tijmens was betrothed to Jan Jacobsz. van Honthorst, widower of Maijken Herts, on 17 July 1599 (DTB 762a/122).  Aaltje Pieters Zeebeck, who died before 9 April 1594, when her late husband Jacob Stevensz. remarried with Anneke Everts, may have been the sister of Claes Pietersz. van Zeebeck (DTB 407/2). On 8 April 1628, Jacob Crisp (signs James Crispe), from London, coopgesel (merchant's employee), 28, no living parents, assisted by his niece Rebecca Baerle, living on the O.Z. Achterburchwal, was betrothed to Graia Steyns, from Amsterdam, 26, assisted by her brother Joseph Steyns, notary public, living on the Fluwele Burgwal (DTB 433/17). On 14 January 1629, James Crisp had his son Joseph baptized in the English church (no mention of the mother's name) (DTB 137/35). On 26 March 1629, merchant, acknowledged receiving 810 f. to his full satisfaction, via Joseph Steyns, notary, (his brother-in-law). He accordingly returned the household goods that he had obtained in 1638 (presumably the goods in the present inventory) (NA 1498, Not. Oly).","Op huyden den tweeden Augusty 1638 compareerden voor mij Jan Volkaertsz. Oli openbaer notaris .... ter presentie van de onderget. getuijgen Sr. Jacob Crisp coopman binnen deser stede my not. bekent ende geliefde voor hem ende sijnen erven vrywillig opgedragen, gecedeert ende bedachtelijck vercocht ... aen d'eersame Claes Pietersz. Seebock (Zeebeck)  mede coopman alhier present synde ... ende desen transport accepterende, alle de meuble goederen ende imboel hiernae gespecificeert berustende ten huijse van hem comparant staende op de Nieuwe Zijts Voorburgwal ende elck tot prijse als volght.  Postscript:  Gedaen binnen Amsterdam tot huyse myns notaris ter presentie van Abraham Auckes ende Jacob Goutsbloem  getuygen hiertoe versocht."
147,230,Gemeentearchief Amsterdam,618,,1632/10/20,Hommel,Amsterdam,21,Nederland,,,,1617/03/02,,and his widow Judith Cobbault,"Hommel, Hans de l' (II)",M,S. Ruttens,Manufacturer |a Sugar refiner,death inventory,probably Calvinist,by de Binnen Amstel in Amsterdam,"The sugar refiner Hans de l'Hommel II was the son of Hans l'Hommel I, who fled Antwerp in or about 1585 and  died in 1597. The son   was born in Antwerp  and was first noted in Amsterdam in 1592 (Gelderblom, Zuid-Nederlandse kooplieden, p. 306). He  was betrothed to Judith Cobbaut, the daughter of Arnout Cobbaut II and of Anna van Valckenburg (R 21250), on 2 March 1617 (R 31898 of Montias2). He was the brother-in-law of Govert van Arckel of R 31898.  Already in 1595, Hans de l'Hommel II  was an important sugar refiner in Hamburg. He had an account for 19,000 marks at the Hamburg Wisselbank in 1619. Godefridt van Erckel (of R 31898 of Montias2) invested 3,000 f. in the first subscription for V.O.C. shares on his behalf. He lived in a fine house in Hamburg with a ceiling painted by Hans Vredemans de Vries. Johan de l'Hommel (Hans de l'Hommel II), sugar refiner on the Binnen Amstel, signed a contract on 5 August 1631 with a number of brandywine distillers (Van Dillen, Het oudste aandeelhoudersregister, p. 182). On Hans de l'Hommel (II), see also  Van Dillen, Bronnen tot de geschiedenis van het bedrijfsleven R.G.P., 78(1933), p. 771).",Inventaris van Hans de l'Hommel suyckerbacker overleden by the Binnen Emster allhier [gedaen] ten versoecke van Nicolas Cocqu als curateur geappointeert by de weesmeesteren.
177,260,Gemeentearchief Amsterdam,"858, film 577",,1630/01/08,Wassenaer,Amsterdam,22,Nederland,,,c. 1571 |d 1629/09/24,1599/11/20,,,"Wassenaer, Nicolaes (Jansz.)",M,Jacob van Zwieten,"Liberal profession |a Doctor in medicine; Poet, writer",death inventory,Reformed,Amsterdam,"Niclaes Jansz. van Wassenaer, born between 1571 and 1573, was the son of Johannes Claessen van Wassenaer, born in Gouda, a school teacher with his own school. In 1580, Johannes became a predikant in Amsterdam. Niclaes was probably born in Amsterdam.  His mother Neeltgen Gerrits Dirckszdr. Buytewech is presumed to have been the sister of the former burgomaster of Leyden Jan Gerritsz. Buytewech. On 20 November 1599, Claes Jansz. (van Wassenaer), 26 years old, living in the Haarlemmerspoort in the Nieustadt, was betrothed to Griet Jacobsdr., 24, living on the O.Z. Voorburgwal. The bride stemmed from the distinguished Persijn family and was thus a relative of Hendrick Persijn cited in the INTRO  (J. Z. Kannegieter, Dr. Nicolaes Jansz. van Wassenaer (1571/2-1629), Jaarboek Amstelodamum 56(1964), p. 74). Niclaes Wassenaer became a teacher in the Latin school of Haarlem in 1603. He became a self-taught doctor in medicine about 1612. After publishing a book on diseases, he began to write to write and publish a series of current-event  chronicles in 1624. These appeared as the Historisch verhael alder ghedenk-weerdichste geschiedenissen. In 1624 and 1625, he reported on the latest news on tulips, which he apparently admired, and on the temperament of tulip lovers (Goldgar, Tulipmania, typescript, 2004, pp. 187-8).  His historical studies were continued by his son-in-law Barent Lampe (of R 28400 of Montias2) (Kannegieter, p. 96.) His daughter Machteltgen van Wassenaer, 19, was betrothed to Jacob Bartholomeus van Ter Heyde, alias Jacob van der Heyde (of R 24366 of Montias2), on 21 December 1621. Nicolaes van Wassenaer was buried in the O.K. on 28 September 1629 (ibid. p. 97). For the post-mortem sale of Nicolaes Wassenaer's possessions, see INVNO 2600 (R 534 of Montias1).","Inventaris van de goederen meubelen ende huijsraet naergelaten by sr. Nicolaes Wassenaer zal. in sijn leven gewoont hebbende ten huijse van Sr. Jacob van der Heyde, schoonsoon van de voorn. Wassenaer, wijncooper binnen deser stede , gedaen mercken by mij Jacob van Zwieten not. pub. ...ten overstaen van de E. Mr. Hendrick Persijn als oom ende opt aengeven van de voorn. Jacob van der Heijde. Postscript: Aldus gedaen ende geinventariseert ...desen 8-en january 1630"
